aid,candid,corrected,dec,dubious,e_dec,e_mag,e_mag_corr,e_mag_corr_ext,e_ra,fid,has_stamp,isdiffpos,mag,mag_corr,mjd,oid,parent_candid,pid,ra,sid,tid,adpctdif1,adpctdif2,chinr,clrcoeff,clrcounc,decnr,diffmaglim,distnr,exptime,field,magnr,magzpsci,magzpscirms,magzpsciunc,procstatus,programid,ranr,rcid,rfid,scibckgnd,sciinpseeing,scisigpix,sharpnr,sigmagnr
"","ZTF18absrlhv2629429526115",true,64.5417654,false,"",100,100,100,"",2,false,-1,100,100,60383.42952550016,"ZTF18absrlhv",2658468565015015000,2629429526115,252.4097941,"","ztf",0.08899299800395966,0.1176690012216568,-99999,0.09747180342674255,0.000023969199901330285,-99999,19.671199798583984,-99999,30,825,-99999,25.894500732421875,0.03427189961075783,0.000015216700376186054,"61",1,-99999,61,825120261,143.0970001220703,3.1821999549865723,6.470359802246094,-99999,-99999
"","ZTF18absrlhv2637323406115",true,64.5417968,false,"",100,100,100,"",1,false,-1,100,100,60391.32340280013,"ZTF18absrlhv",2637392845015015000,2637323406115,252.4096506,"","ztf",0.07680899649858475,0.09295699745416641,-99999,-0.045166000723838806,0.000049477599532110617,-99999,19.561899185180664,-99999,30,825,-99999,26.00200080871582,0.03796210139989853,0.00002370410038565751,"61",1,-99999,61,825120161,115.29299926757812,2.0162999629974365,11.482399940490723,-99999,-99999
"","ZTF18absrlhv2635491786015",true,64.5418825,false,"",100,100,100,"",2,false,-1,100,100,60389.491782399826,"ZTF18absrlhv",2664427495015015000,2635491786015,252.4097282,"","ztf",0.06541399657726288,0.090658999979496,-99999,0.1000479981303215,0.00001119660009862855,-99999,20.36639976501465,-99999,30,825,-99999,26.106300354003906,0.026099899783730507,0.000006751200089638587,"61",1,-99999,60,825120260,177.4080047607422,1.728700041770935,6.813620090484619,-99999,-99999
"","ZTF18absrlhv2635475686115",true,64.5418825,false,"",100,100,100,"",1,false,-1,100,100,60389.47568289982,"ZTF18absrlhv",2664427495015015000,2635475686115,252.4097282,"","ztf",0.06863100081682205,0.09105899930000305,-99999,-0.08552099764347076,0.000027486199542181566,-99999,20.190500259399414,-99999,30,825,-99999,26.105100631713867,0.03477710112929344,0.000016515099559910595,"61",1,-99999,61,825120161,123.13400268554688,2.123300075531006,6.868100166320801,-99999,-99999
"","ZTF18absrlhv2634433505015",true,64.5418825,false,"",0.05007947236299515,100,0.02016064557987411,"",1,false,1,18.872600555419922,17.884712281366085,60388.43350689998,"ZTF18absrlhv",2664427495015015000,2634433505015,252.4097282,"","ztf",0.07699999958276749,0.09937500208616257,3.934999942779541,-0.033956799656152725,0.00002607789974717889,64.54180145263672,20.034700393676758,0.31408068537712097,30,824,18.444000244140625,26.318300247192383,0.03929920122027397,0.00001532339956611395,"0",1,252.40965270996094,50,824120150,203.50999450683594,2.386399984359741,9.228179931640625,0.16300000250339508,0.04100000113248825
"","ZTF18absrlhv2637431775015",true,64.5417828,false,"",0.06250201910734177,100,0.016906627881142527,"",2,false,1,18.76416015625,17.34456752256789,60391.43177080015,"ZTF18absrlhv",2637468786215015000,2637431775015,252.4097136,"","ztf",0.06729000061750412,0.09391599893569946,4.257999897003174,0.10743200033903122,0.000010914500307990238,64.54180145263672,19.77389907836914,0.1975696086883545,30,824,17.687000274658203,26.25119972229004,0.027065899223089218,0.000006920200121385278,"0",1,252.4095916748047,50,824120250,201.91700744628906,2.078200101852417,11.934700012207031,0.2720000147819519,0.052000001072883606
"","ZTF18absrlhv2642387916215",true,64.5417172,false,"",0.07047389447689056,0.016468770611196133,0.028815030135777738,"",1,false,1,18.809221267700195,17.838198283433254,60396.38791669998,"ZTF18absrlhv",2642389455015015000,2642387916215,252.409694,"","ztf",0.0756400004029274,0.09878399968147278,4.1579999923706055,-0.03647720068693161,0.000027021900677937083,64.54180908203125,19.633800506591797,0.3344549536705017,30,825,18.409000396728516,26.1835994720459,0.03494369983673096,0.000014148299669614062,"0",1,252.40963745117188,62,825120162,91.09329986572266,2.251499891281128,12.087400436401367,0.09000000357627869,0.03999999910593033
"","ZTF18absrlhv2637468786115",true,64.541776,false,"",100,100,100,"",2,false,-1,100,100,60391.46878470015,"ZTF18absrlhv",2667396215015015000,2637468786115,252.4096736,"","ztf",0.06813199818134308,0.09247799962759018,-99999,0.0943669006228447,0.000011795499631261919,-99999,19.86009979248047,-99999,30,825,-99999,26.038799285888672,0.023781700059771538,0.000007429499873978784,"61",1,-99999,61,825120261,164.91099548339844,1.902999997138977,9.247819900512695,-99999,-99999
"","ZTF18absrlhv2635475686015",true,64.541826,false,"",100,100,100,"",1,false,-1,100,100,60389.47568289982,"ZTF18absrlhv",2642451305015015000,2635475686015,252.4095695,"","ztf",0.06789200007915497,0.08592399954795837,-99999,-0.08581829816102982,0.000015428400729433633,-99999,20.298500061035156,-99999,30,825,-99999,26.19529914855957,0.030106499791145325,0.00000912609993974911,"61",1,-99999,60,825120160,113.18199920654297,2.06469988822937,6.9015398025512695,-99999,-99999
"","ZTF18absrlhv2642451305015",true,64.54181,false,"",0.058775048702955246,100,0.016800055967301733,"",2,false,1,18.68120002746582,17.321494354612085,60396.451307899784,"ZTF18absrlhv",2642473586215015000,2642451305015,252.4097525,"","ztf",0.0759510025382042,0.10300800204277039,4.257999897003174,0.10390999913215637,0.000014707299669680651,64.54180145263672,19.653499603271484,0.2481863796710968,30,824,17.687000274658203,26.26729965209961,0.031331900507211685,0.00000933780029299669,"0",1,252.4095916748047,50,824120250,201.93600463867188,2.8541998863220215,11.50409984588623,0.2720000147819519,0.052000001072883606
