aid,diffmaglim,fid,mjd,oid,sid,tid
"",19.5714,1,59859.18348379992,"ZTF18absrlhv","","ztf"
"",19.8109,1,59865.17608800018,"ZTF18absrlhv","","ztf"
"",18.8591,1,59951.49619209999,"ZTF18absrlhv","","ztf"
"",17.5066,1,59983.43192130001,"ZTF18absrlhv","","ztf"
"",19.3192,1,59993.43486109981,"ZTF18absrlhv","","ztf"
"",20.1431,1,60053.39084490016,"ZTF18absrlhv","","ztf"
"",20.7331,1,60093.4291087999,"ZTF18absrlhv","","ztf"
"",19.4517,1,60098.282546299975,"ZTF18absrlhv","","ztf"
"",17.1127,1,60102.2409144002,"ZTF18absrlhv","","ztf"
"",19.1244,1,60128.44790509995,"ZTF18absrlhv","","ztf"
"",19.0448,1,60158.374525499996,"ZTF18absrlhv","","ztf"
"",18.9662,1,60169.347094899975,"ZTF18absrlhv","","ztf"
"",18.2105,1,60169.3480440001,"ZTF18absrlhv","","ztf"
"",18.4559,1,60175.18579859985,"ZTF18absrlhv","","ztf"
"",19.6816,1,60186.182731499895,"ZTF18absrlhv","","ztf"
"",17.674,1,60363.360972200055,"ZTF18absrlhv","","ztf"
"",18.2512,1,60363.389884300064,"ZTF18absrlhv","","ztf"
"",19.7611,1,60422.34614579985,"ZTF18absrlhv","","ztf"
"",20.4378,1,60436.40725689987,"ZTF18absrlhv","","ztf"
"",20.2591,1,60436.42509259982,"ZTF18absrlhv","","ztf"
"",20.5864,1,60442.35973379994,"ZTF18absrlhv","","ztf"
"",16.2692,1,60465.26461810013,"ZTF18absrlhv","","ztf"
"",14.7483,1,60465.30680559995,"ZTF18absrlhv","","ztf"
"",16.3028,1,60465.3110301001,"ZTF18absrlhv","","ztf"
"",16.7501,1,60465.31525459979,"ZTF18absrlhv","","ztf"
"",18.5705,1,60465.31946759997,"ZTF18absrlhv","","ztf"
"",18.4753,1,60465.32369210012,"ZTF18absrlhv","","ztf"
"",18.4943,1,60465.32790509984,"ZTF18absrlhv","","ztf"
"",18.845,1,60465.3295948999,"ZTF18absrlhv","","ztf"
"",18.629,1,60465.33212959999,"ZTF18absrlhv","","ztf"
"",17.5246,1,60465.336342600174,"ZTF18absrlhv","","ztf"
"",18.9374,1,60465.34056709986,"ZTF18absrlhv","","ztf"
"",19.7697,1,60465.40975689981,"ZTF18absrlhv","","ztf"
"",19.4086,1,60465.41229170002,"ZTF18absrlhv","","ztf"
"",18.7448,1,60465.42074069986,"ZTF18absrlhv","","ztf"
"",18.882,1,60465.42495370004,"ZTF18absrlhv","","ztf"
"",18.3879,1,60465.426643500105,"ZTF18absrlhv","","ztf"
"",17.9008,1,60465.4291782002,"ZTF18absrlhv","","ztf"
"",18.1819,1,60465.43085649982,"ZTF18absrlhv","","ztf"
"",18.1076,1,60465.43339119991,"ZTF18absrlhv","","ztf"
"",18.9153,1,60465.435080999974,"ZTF18absrlhv","","ztf"
"",19.2665,1,60465.437615700066,"ZTF18absrlhv","","ztf"
"",19.8876,1,60465.44182869978,"ZTF18absrlhv","","ztf"
"",21.1153,1,60466.19407409988,"ZTF18absrlhv","","ztf"
"",21.0794,1,60466.19869210012,"ZTF18absrlhv","","ztf"
"",21.1274,1,60466.201759300195,"ZTF18absrlhv","","ztf"
"",21.0902,1,60466.20638890006,"ZTF18absrlhv","","ztf"
"",21.1529,1,60466.20945600001,"ZTF18absrlhv","","ztf"
"",21.1107,1,60466.21408559987,"ZTF18absrlhv","","ztf"
"",21.1562,1,60466.217152799945,"ZTF18absrlhv","","ztf"
